unique_state_id,mcmc_row,failure_step,cluster,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
9299,87276,143,0,0.741375207901001,2.9192659854888916,1.3567345142364502,37.602699279785156,4.777132034301758,12.075882911682129
9300,87277,125,0,0.38432344794273376,3.188857078552246,0.641262948513031,36.328060150146484,4.732610702514648,12.06977653503418
9301,87283,130,0,2.7456634044647217,2.0461490154266357,54.12571334838867,7.8418989181518555,11.886619567871094,6.3705830574035645
9302,87285,132,0,-1.0646559000015259,-4.788666248321533,26.117637634277344,-64.6896743774414,12.73717975616455,-0.2967715859413147
9303,87286,130,0,-1.2579623460769653,-3.6749866008758545,26.87312126159668,-42.32978439331055,12.055758476257324,0.7593134045600891
9304,87289,130,0,-1.3469797372817993,-3.9210433959960938,26.85580825805664,-42.72312927246094,12.071181297302246,0.6437094807624817
9305,87291,111,0,-1.1477774381637573,0.9499601721763611,-11.693418502807617,27.71889305114746,3.2121291160583496,11.060397148132324
9306,87294,151,0,1.5122597217559814,3.7745819091796875,3.4496819972991943,45.47679138183594,5.071195125579834,12.736482620239258
9307,87298,125,0,0.4829186797142029,3.065295457839966,0.820758044719696,36.29996871948242,4.729450225830078,12.042930603027344
9308,87299,105,0,3.8614025115966797,7.982100963592529,21.3953857421875,61.37352752685547,6.565571308135986,14.778443336486816
9309,87301,126,0,4.117925643920898,3.5433037281036377,52.61504364013672,22.220504760742188,11.283560752868652,7.5376296043396
9310,87305,124,0,3.5765137672424316,2.4866127967834473,57.47454071044922,12.17096996307373,11.928725242614746,6.796133995056152
9311,87307,128,0,4.548680305480957,6.2823166847229,44.96428298950195,39.518070220947266,10.168916702270508,8.328498840332031
9312,87316,132,0,-1.2597240209579468,-4.526298999786377,25.428308486938477,-63.47818374633789,12.529338836669922,-0.2966769337654114
9313,87322,127,0,0.24649997055530548,5.770574569702148,-7.542303085327148,68.97441864013672,4.003450870513916,14.426304817199707
9314,87324,121,0,-0.6052834987640381,5.221238613128662,-12.58400821685791,70.71375274658203,3.4899795055389404,14.316431999206543
9315,87326,129,0,1.0065901279449463,7.161528587341309,3.427183151245117,71.96072387695312,4.680506706237793,14.831542015075684
9316,87327,105,0,3.699950695037842,8.068571090698242,21.337154388427734,61.42946243286133,6.518373012542725,14.76702880859375
9317,87328,127,0,0.5017210841178894,6.120809078216553,-6.833199977874756,69.76759338378906,4.139463901519775,14.538800239562988
9318,87332,111,0,-1.2444720268249512,0.8575458526611328,-11.685222625732422,27.6362361907959,3.236457586288452,11.025757789611816
9319,87333,102,0,-1.0476410388946533,-0.16748833656311035,-15.760062217712402,-4.195345401763916,7.743830680847168,2.9626998901367188
9320,87334,138,0,-1.6592471599578857,-1.819824457168579,-39.11420822143555,-41.235164642333984,7.531292915344238,0.37032952904701233
9321,87335,127,0,0.31545862555503845,6.005648612976074,-7.406263828277588,69.56119537353516,4.053908348083496,14.52546215057373
9322,87340,131,0,-0.7496066093444824,1.503852367401123,-7.658834934234619,27.300994873046875,4.119801044464111,11.229208946228027
9323,87341,134,0,-1.2846757173538208,-3.1674063205718994,4.9480767250061035,-44.836936950683594,11.068928718566895,0.6895418763160706
9324,87343,122,0,-1.9814826250076294,-3.825486660003662,-7.024674415588379,-69.48430633544922,9.948799133300781,-1.2691848278045654
9325,87344,132,0,-1.531760334968567,-4.605362415313721,27.666460037231445,-60.12420654296875,12.494824409484863,-0.11935841292142868
9326,87346,148,0,8.401307106018066,5.230154037475586,66.81443786621094,33.96728515625,11.839156150817871,8.945733070373535
9327,87355,131,0,-0.8607014417648315,1.3955538272857666,-7.928487777709961,27.413280487060547,4.005411624908447,11.199564933776855
9328,87356,125,0,-0.7617037296295166,1.778723955154419,-7.0216474533081055,32.15309143066406,4.088552474975586,11.516769409179688
9329,87357,125,0,-0.7420784831047058,1.6272566318511963,-7.053737640380859,32.23356628417969,4.114744663238525,11.568896293640137
9330,87358,125,0,-0.22804541885852814,2.7447214126586914,-3.171790838241577,33.661258697509766,4.459895610809326,11.973146438598633
9331,87359,137,0,1.238800287246704,3.9829022884368896,4.060744285583496,38.212886810302734,5.204429626464844,12.35721492767334
9332,87361,125,0,-0.30028799176216125,2.2644875049591064,-4.464385032653809,33.19301223754883,4.413334369659424,11.847912788391113
9333,87363,207,0,4.900029182434082,7.162863254547119,26.975231170654297,56.00740432739258,7.002538681030273,14.40411376953125
9334,87365,134,0,-1.4326937198638916,-3.4044718742370605,4.81358528137207,-45.388877868652344,11.01661205291748,0.5247539281845093
9335,87367,126,0,2.8132359981536865,2.195800304412842,48.73100662231445,16.526981353759766,11.048043251037598,6.718283176422119
9336,87368,137,0,-3.2630348205566406,-2.3988001346588135,-59.4896240234375,10.859487533569336,0.8062537908554077,9.439324378967285
9337,87370,121,0,0.038266491144895554,5.407872200012207,-8.112650871276855,66.84912109375,3.95025372505188,14.212180137634277
9338,87371,126,0,2.9646379947662354,2.2941179275512695,48.934078216552734,17.096168518066406,10.984743118286133,6.800591468811035
9339,87374,126,0,3.1306145191192627,2.5402631759643555,49.079368591308594,17.23318099975586,11.053504943847656,6.906472682952881
9340,87375,143,0,2.036522150039673,4.467831134796143,8.329573631286621,42.26505661010742,5.457163333892822,12.746109008789062
9341,87377,143,0,2.4346542358398438,4.821859359741211,9.181730270385742,42.87837219238281,5.587042808532715,12.863439559936523
9342,87378,135,0,0.2329166680574417,3.174056053161621,-1.2568871974945068,32.78376770019531,4.611664295196533,12.016643524169922
9343,87380,132,0,-1.2008105516433716,-4.872781753540039,26.598041534423828,-64.4613037109375,12.688791275024414,-0.38780274987220764
9344,87386,135,0,1.581424593925476,4.140896797180176,6.833881855010986,38.4066276550293,5.412550926208496,12.4281644821167
9345,87393,191,0,-3.890390157699585,-0.4475906789302826,-58.204627990722656,34.66841506958008,-0.16786916553974152,11.176154136657715
9346,87398,137,0,2.2990431785583496,4.940092086791992,9.131440162658691,43.36824417114258,5.571516036987305,12.875955581665039
9347,87405,140,0,4.62729024887085,1.2695320844650269,63.566707611083984,3.4074904918670654,12.586027145385742,6.303593158721924
9348,87410,118,0,-1.8516106605529785,-2.8503952026367188,-35.83012008666992,-57.19211196899414,7.938169956207275,-0.7142963409423828
9349,87415,113,0,-0.4554401636123657,3.265535354614258,-10.270439147949219,43.218910217285156,3.6944186687469482,12.741252899169922
9350,87416,126,0,3.7034173011779785,2.780231237411499,52.32523727416992,17.242843627929688,11.339618682861328,7.101352691650391
9351,87417,132,0,-0.7784545421600342,-4.39145565032959,42.433963775634766,-41.47819900512695,13.089179039001465,0.9120402932167053
9352,87419,132,0,-0.9309461116790771,-5.331945419311523,26.86672592163086,-65.63058471679688,12.970869064331055,-0.32780739665031433
9353,87423,117,0,-3.5232887268066406,-1.532462239265442,-67.8621826171875,23.765180587768555,-0.44206663966178894,10.345480918884277
9354,87427,119,0,-0.21763959527015686,4.663989067077637,-11.251238822937012,60.77414321899414,3.666002035140991,13.699620246887207
9355,87449,142,0,-0.8953197002410889,-8.131781578063965,52.08893966674805,-65.71611022949219,14.205462455749512,-0.8515568971633911
9356,87461,204,0,-0.9744808673858643,-1.0741766691207886,-3.892364740371704,-13.549498558044434,9.03652572631836,2.3792901039123535
9357,87475,172,0,0.1428462415933609,-2.058087110519409,39.40220260620117,-23.335002899169922,12.373135566711426,2.9153056144714355
9358,87491,132,0,-0.8983064889907837,-5.011353969573975,26.722280502319336,-65.34027099609375,12.85830020904541,-0.3013468384742737
9359,87496,129,0,1.645480990409851,7.230930328369141,5.093477249145508,73.4201889038086,4.871506690979004,15.019058227539062
9360,87526,130,0,3.628023862838745,2.9494104385375977,52.62860870361328,17.441259384155273,11.396736145019531,7.1114726066589355
9361,87527,125,0,2.8252694606781006,5.145346641540527,10.718335151672363,41.16838455200195,5.698883533477783,12.822263717651367
9362,87528,137,0,2.2496631145477295,4.907747745513916,9.060983657836914,43.51194381713867,5.56049108505249,12.904203414916992
9363,87535,124,0,2.7639951705932617,0.8055620789527893,52.360904693603516,5.433611869812012,12.128862380981445,5.837839603424072
9364,87546,127,0,1.2765387296676636,5.955097198486328,5.984531402587891,64.88485717773438,4.791481018066406,14.293326377868652
9365,87547,125,0,0.0016349895158782601,2.111030101776123,-4.700620651245117,32.29302978515625,4.442821025848389,11.81024169921875
9366,87557,123,0,-0.6191245317459106,1.1807551383972168,-8.234158515930176,30.176998138427734,3.944185733795166,11.277210235595703
9367,87561,130,0,-1.681370735168457,-4.980886459350586,8.834935188293457,-75.66690063476562,11.287415504455566,-1.6512614488601685
9368,87563,114,0,-1.3644529581069946,-1.7998815774917603,-12.684638977050781,-33.546661376953125,8.69821834564209,1.493274211883545
9369,87564,111,0,2.348769426345825,4.898274898529053,11.988486289978027,42.09217071533203,5.6220383644104,12.83215618133545
